code;name;calories;protein;fat;carbo;fiber
2708243;Popcorn chips, other flavors;438;10,2;11,2;74,2;4,9
2708244;Popcorn chips, sweet flavors;455;8,75;13,5;74,6;4,2
2708245;Onion flavored rings;499;7,7;22,6;65,1;3,9
2708246;Shrimp chips;426;7,14;17,9;59,1;5,6
2708247;Pretzels, NFS;384;10;2,93;80,4;3,4
2708248;Pretzels, hard, NFS;384;10;2,93;80,4;3,4
2708249;Pretzels, hard, plain, salted;384;10;2,93;80,4;3,4
2708250;Pretzels, hard, plain, lightly salted;382;9,57;3,22;79,8;3,1
2708251;Pretzels, hard, plain, unsalted;381;9,1;3,5;79,2;2,8
2708252;Pretzels, hard, flavored;388;9,92;3,88;79,4;3,4
2708253;Pretzels, hard, multigrain;381;10,2;2,96;80,1;4,2
2708254;Pretzels, hard, plain, gluten free;389;3,52;6,67;78,6;3,3
2708255;Pretzels, hard, flavored, gluten free;393;3,48;7,58;77,7;3,3
2708256;Pretzel chips, hard, plain;375;9,8;2,86;78,4;3,3
2708257;Pretzel chips, hard, flavored;370;9,68;2,82;77,5;3,3
2708258;Pretzel chips, hard, gluten free;380;3,43;6,51;76,7;3,2
2708259;Pretzels, hard, coated, NFS;467;7,05;17,6;70,1;3,5
